age;sexe_female;sexe_male;lum_dawn_dusk;lum_day;lum_night_dark;lum_night_w_light;agg_in_city;agg_out_of_city;int_no_intersect;int_normal_crossing;int_railroad_crossing;int_roundabout;int_square;atm_fog_smoke;atm_normal;atm_rain;atm_snow_hail;atm_wind_storm;catr_communal;catr_departmental;catr_highway;catr_national;catr_not_public;catr_other;catr_parking_lot;catr_speedway;circ_one_way;circ_separated_ways;circ_two_ways;circ_variable_ways;nbv_1;nbv_2;nbv_3;nbv_4;vosp_3;vosp_bicycle_lane;vosp_bicycle_track;vosp_none;plan_S_curve;plan_left_curve;plan_missing;plan_rectilinear;plan_right_curve;surf_icy;surf_normal;surf_wet;infra_none;infra_underground;heavy_traffic_0;heavy_traffic_1;dayofweek_0;dayofweek_1;dayofweek_2;dayofweek_3;dayofweek_4;dayofweek_5;dayofweek_6;type_int;c1;c2
30;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;48.872787593426104, 2.2985601671720772;48.873208331994725, 2.2971358892294953
30;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48.873208331994725, 2.2971358892294953;
30;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;48.873208331994725, 2.2971358892294953;48.87250994520298, 2.2962085423913408
30;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48.87250994520298, 2.2962085423913408;
30;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;48.87250994520298, 2.2962085423913408;48.87230258989931, 2.2952784589340776
30;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48.87230258989931, 2.2952784589340776;
30;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;48.87230258989931, 2.2952784589340776;48.87244157458427, 2.294044227601805
30;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48.87244157458427, 2.294044227601805;
30;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;48.87244157458427, 2.294044227601805;48.87297548317971, 2.2931288134603403
30;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;48.87297548317971, 2.2931288134603403;
